event_id,objective_direct,tracking_objective,once_penalty,duplicate_starts,n_jobs_scheduled,tracking_RMSE_kW,max_envelope_violation_kW,envelope_violation_kWh,max_concurrent_gpus,cluster_gpu_capacity,allocated_curtailment_kWh,target_energy_kWh,scheduled_gpu_energy_kWh,renewable_absorbed_kWh,capture_fraction_of_envelope,target_energy_ratio,completed_baseline_gpu_hours,cap250_jobs,cap300_jobs,cap350_jobs,cap400_jobs
0,0.8111280472140233,0.8111280472140233,0.0,0,4,4.324724600098713,0.0,0.0,66,256,117.92975665997226,94.3438053279778,90.49452046571488,90.49452046571488,0.7673595115322625,0.9591993894153281,241.71222222222218,1,1,0,2
1,0.17589142031172306,0.17589142031172306,0.0,0,5,2.013891529351315,0.0,0.0,66,256,117.2907386750212,93.83259094001696,98.07116143032425,98.07116143032425,0.8361372989733754,1.0451716237167195,265.4161111111111,2,0,1,2
2,0.8227903179331824,0.8227903179331824,0.0,0,3,4.355703747185725,0.0,0.0,61,256,115.95418059483131,92.76334447586504,82.87311424147148,82.87311424147148,0.7147057037214368,0.8933821296517961,221.22555555555556,0,1,2,0
