power_cap_W,n_workload_profiles,power_per_gpu_W_mean,power_per_gpu_W_median,power_per_gpu_W_min,power_per_gpu_W_max,throughput_min,throughput_mean,throughput_median,throughput_max,model_power_per_gpu_kW,model_throughput_factor
250,8,243.0791849170746,242.48966623975946,239.8239191269841,247.46579923211172,0.7808988764044943,0.8432153046483097,0.8708708708708708,0.9042253521126762,0.2430791849170746,0.7808988764044943
300,8,289.33040092053545,288.9375,285.5416641104498,295.71144557869246,0.8595505617977528,0.9101261426591976,0.9309309309309308,0.9507042253521129,0.28933040092053547,0.8595505617977528
350,8,330.96245080559015,332.875,317.0761557148546,343.28519556584683,0.9116022099447514,0.9554334083187686,0.9716527607152607,0.9802816901408452,0.33096245080559017,0.9116022099447514
400,8,367.5694379147809,368.375,343.3614077325251,387.8466524247686,1.0,1.0,1.0,1.0,0.3675694379147809,1.0
