var_index,var_name,portfolio_job_id,power_cap_W,start_slot,end_slot_exclusive,duration_slots,baseline_duration_minutes,mode_adjusted_duration_minutes,model_throughput_factor,total_gpus,model_power_per_gpu_kW,job_power_kW
92,x_j02_p250_s00,2,250,0,14,14,153.65,196.7604316546763,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
298,x_j05_p400_s00,5,400,0,11,11,154.35,154.35,1.0,11,0.3675694379147809,4.04326381706259
346,x_j06_p400_s00,6,400,0,11,11,164.6,164.6,1.0,8,0.3675694379147809,2.9405555033182473
531,x_j10_p250_s05,10,250,5,20,15,175.28333333333333,224.46354916067148,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
598,x_j11_p350_s00,11,350,0,11,11,141.3,155.00181818181818,0.9116022099447514,13,0.3309624508055901,4.302511860472672
641,x_j12_p250_s14,12,250,14,23,9,101.81666666666666,130.38393285371703,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
931,x_j17_p350_s11,17,350,11,24,13,168.06666666666666,184.3640404040404,0.9116022099447514,36,0.3309624508055901,11.914648229001244
