event_id,method,slot,timestamp,allocated_curtailment_kW,dispatch_target_kW,gpu_load_kW,active_gpus
0,CPLEX-QUBO,0,2025-05-18 10:30:00,17.18867738325187,13.750941906601495,15.220404088686967,53.0
0,CPLEX-QUBO,1,2025-05-18 10:45:00,18.395935979134784,14.716748783307828,15.220404088686967,53.0
0,CPLEX-QUBO,2,2025-05-18 11:00:00,17.10889230132724,13.687113841061796,15.220404088686967,53.0
0,CPLEX-QUBO,3,2025-05-18 11:15:00,18.647396030578506,14.917916824462806,15.220404088686967,53.0
0,CPLEX-QUBO,4,2025-05-18 11:30:00,19.84764014893072,15.878112119144577,15.220404088686967,53.0
0,CPLEX-QUBO,5,2025-05-18 11:45:00,20.719649454275576,16.57571956342046,15.220404088686967,53.0
0,CPLEX-QUBO,6,2025-05-18 12:00:00,20.629434090746773,16.50354727259742,15.220404088686967,53.0
0,CPLEX-QUBO,7,2025-05-18 12:15:00,21.222516740161037,16.978013392128826,15.220404088686967,53.0
0,CPLEX-QUBO,8,2025-05-18 12:30:00,21.344381880174552,17.07550550413964,15.3483758353932,56.0
0,CPLEX-QUBO,9,2025-05-18 12:45:00,21.83427863431286,17.46742290745029,18.50840523931517,69.0
0,CPLEX-QUBO,10,2025-05-18 13:00:00,21.17280508307142,16.938244066457138,13.623216256660326,53.0
0,CPLEX-QUBO,11,2025-05-18 13:15:00,21.199147706156023,16.95931816492482,13.623216256660326,53.0
0,CPLEX-QUBO,12,2025-05-18 13:30:00,20.57119372302857,16.45695497842286,15.567849735996923,61.0
0,CPLEX-QUBO,13,2025-05-18 13:45:00,19.37022224622393,15.496177796979143,18.17182334428174,70.0
0,CPLEX-QUBO,14,2025-05-18 14:00:00,19.798100338999085,15.838480271199268,18.17182334428174,70.0
0,CPLEX-QUBO,15,2025-05-18 14:15:00,19.885385984991032,15.908308787992826,16.227189864945146,62.0
0,CPLEX-QUBO,16,2025-05-18 14:30:00,19.73202060259379,15.785616482075032,16.227189864945146,62.0
0,CPLEX-QUBO,17,2025-05-18 14:45:00,20.23445340447139,16.187562723577113,16.227189864945146,62.0
0,CPLEX-QUBO,18,2025-05-18 15:00:00,20.11341033390716,16.090728267125726,16.227189864945146,62.0
0,CPLEX-QUBO,19,2025-05-18 15:15:00,19.58555519433895,15.668444155471162,16.227189864945146,62.0
0,CPLEX-QUBO,20,2025-05-18 15:30:00,18.084893919684472,14.467915135747578,16.227189864945146,62.0
0,CPLEX-QUBO,21,2025-05-18 15:45:00,17.27752420430651,13.822019363445207,14.282556385608547,54.0
0,CPLEX-QUBO,22,2025-05-18 16:00:00,19.051032438372825,15.24082595069826,11.12252698168658,41.0
0,CPLEX-QUBO,23,2025-05-18 16:15:00,18.70447881684993,14.963583053479946,7.233260023013385,25.0
0,CPLEX-constrained,0,2025-05-18 10:30:00,17.18867738325187,13.750941906601495,13.612434355356177,56.0
0,CPLEX-constrained,1,2025-05-18 10:45:00,18.395935979134784,14.716748783307828,13.612434355356177,56.0
0,CPLEX-constrained,2,2025-05-18 11:00:00,17.10889230132724,13.687113841061796,13.612434355356177,56.0
