var_index,var_name,portfolio_job_id,power_cap_W,start_slot,end_slot_exclusive,duration_slots,baseline_duration_minutes,mode_adjusted_duration_minutes,model_throughput_factor,total_gpus,model_power_per_gpu_kW,job_power_kW
20,x_j00_p300_s10,0,300,10,24,14,171.85,199.9300653594771,0.8595505617977528,8,0.2893304009205354,2.3146432073642833
232,x_j04_p350_s00,4,350,0,11,11,144.71666666666667,158.749797979798,0.9116022099447514,8,0.3309624508055901,2.647699606444721
333,x_j06_p300_s11,6,300,11,24,13,164.6,191.4954248366013,0.8595505617977528,8,0.2893304009205354,2.3146432073642833
641,x_j12_p250_s14,12,250,14,23,9,101.81666666666666,130.38393285371703,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
716,x_j13_p350_s00,13,350,0,13,13,168.61666666666667,184.96737373737375,0.9116022099447514,18,0.3309624508055901,5.957324114500622
868,x_j16_p300_s13,16,300,13,24,11,136.21666666666667,158.47429193899782,0.8595505617977528,17,0.2893304009205354,4.918616815649102
