event_id,method,objective_excess_vs_native_pct
0,CPLEX-QUBO,159.43135938741096
0,SA,-74.72002587472555
1,CPLEX-QUBO,36.59325268182534
1,SA,-67.7133041807872
2,CPLEX-QUBO,157.9081664632224
2,SA,-78.00084914746964
