var_index,var_name,portfolio_job_id,power_cap_W,start_slot,end_slot_exclusive,duration_slots,baseline_duration_minutes,mode_adjusted_duration_minutes,model_throughput_factor,total_gpus,model_power_per_gpu_kW,job_power_kW
55,x_j01_p250_s09,1,250,9,24,15,169.76666666666668,217.39904076738614,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
142,x_j02_p400_s13,2,400,13,24,11,153.65,153.65,1.0,8,0.3675694379147809,2.9405555033182473
158,x_j03_p300_s00,3,300,0,9,9,109.78333333333332,127.7217864923747,0.8595505617977528,8,0.2893304009205354,2.3146432073642833
209,x_j04_p250_s02,4,250,2,15,13,144.71666666666667,185.32062350119907,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
334,x_j06_p350_s00,6,350,0,13,13,164.6,180.56121212121212,0.9116022099447514,8,0.3309624508055901,2.647699606444721
375,x_j07_p250_s15,7,250,15,23,8,92.91666666666669,118.98681055155879,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
479,x_j08_p400_s13,8,400,13,24,11,154.9,154.9,1.0,16,0.3675694379147809,5.881111006636495
741,x_j14_p250_s00,14,250,0,13,13,140.73333333333332,180.21966426858515,0.7808988764044943,25,0.2430791849170746,6.076979622926864
