timestamp,wind_curtailment_MW,solar_curtailment_MW,curtailment_MW,n_reason_records,load_MW,solar_MW,wind_MW,net_load_MW,renewables_MW,curtailment_energy_MWh
2025-01-01 00:00:00,0.0,0.0,0.0,0.0,21919.1607378472,0.0,918.4808514833803,21000.679886363865,2328.13331829534,0.0
2025-01-01 00:15:00,0.0,0.0,0.0,0.0,21792.6627170139,0.0,822.9326402308146,20969.7300767831,2228.8617742450133,0.0
2025-01-01 00:30:00,0.0,0.0,0.0,0.0,21774.963524305567,0.0,755.6596663397331,21019.3038579658,2159.5266320663736,0.0
2025-01-01 00:45:00,0.0,0.0,0.0,0.0,21587.553506944434,0.0,692.7505307571977,20894.802976187264,2095.612021639083,0.0
2025-01-01 01:00:00,0.0,0.0,0.0,0.0,21361.028602430535,0.0,652.417909247504,20708.610693183033,2057.5302425559034,0.0
2025-01-01 01:15:00,0.0,0.0,0.0,0.0,21184.86688368057,0.0,639.0223826904297,20545.844500990133,2042.4778532033133,0.0
2025-01-01 01:30:00,0.0,0.0,0.0,0.0,21040.2957291667,0.0,626.893020021792,20413.402709144866,2032.0950531887102,0.0
2025-01-01 01:45:00,0.0,0.0,0.0,0.0,20861.382361111133,0.0,584.2685652443214,20277.113795866768,1991.1380187906,0.0
2025-01-01 02:00:00,0.0,0.0,0.0,0.0,20606.717838541666,0.0,544.878671209547,20061.8391673321,1950.3899101135833,0.0
2025-01-01 02:15:00,0.0,0.0,0.0,0.0,20415.437482638867,0.0,535.5007210927894,19879.936761546134,1927.8342203183365,0.0
2025-01-01 02:30:00,0.0,0.0,0.0,0.0,20265.7844270833,0.0,474.8725524472837,19790.911874636065,1858.59170222113,0.0
2025-01-01 02:45:00,0.0,0.0,0.0,0.0,20147.346145833333,0.0,416.78553556448696,19730.560610268833,1796.48916791841,0.0
2025-01-01 03:00:00,0.0,0.0,0.0,0.0,20069.26442708333,0.0,405.15787901641335,19664.106548066902,1785.5704770851098,0.0
2025-01-01 03:15:00,0.0,0.0,0.0,0.0,19944.1915798611,0.0,387.04569311224265,19557.1458867489,1762.8970910601165,0.0
2025-01-01 03:30:00,0.0,0.0,0.0,0.0,19877.552717013867,0.0,376.474075700548,19501.078641313365,1771.1665808446667,0.0
2025-01-01 03:45:00,0.0,0.0,0.0,0.0,19816.3792621528,0.0,378.96438552386934,19437.414876628933,1783.8165522011332,0.0
2025-01-01 04:00:00,0.0,0.0,0.0,0.0,19827.412413194466,0.0,363.056499079641,19464.3559141148,1763.7751483500167,0.0
2025-01-01 04:15:00,0.0,0.0,0.0,0.0,19914.958151041665,0.0,351.37736628658536,19563.580784755064,1748.5251050137801,0.0
2025-01-01 04:30:00,0.0,0.0,0.0,0.0,19955.052491319435,0.0,401.7583542746086,19553.294137044835,1798.7518726565233,0.0
2025-01-01 04:45:00,0.0,0.0,0.0,0.0,19969.485755208367,0.0,366.59911862408666,19602.886636584266,1762.1698012420165,0.0
2025-01-01 05:00:00,0.0,0.0,0.0,0.0,20191.906571180567,0.0,335.913114190195,19855.9934569904,1744.2501105944532,0.0
2025-01-01 05:15:00,0.0,0.0,0.0,0.0,20156.8531423611,0.0,323.32322682000466,19833.5299155411,1743.1565325113,0.0
2025-01-01 05:30:00,0.0,0.0,0.0,0.0,20249.331302083334,0.0,276.4341217521383,19972.8971803312,1698.5222376017766,0.0
2025-01-01 05:45:00,0.0,0.0,0.0,0.0,20358.451866319465,0.0,236.6800651832863,20121.77180113617,1659.3125238343,0.0
2025-01-01 06:00:00,0.0,0.0,0.0,0.0,20636.689088541665,0.0,205.553653739212,20431.135434802432,1627.6817528478332,0.0
2025-01-01 06:15:00,0.0,0.0,0.0,0.0,20777.7558767361,0.0,195.60371162952535,20582.1521651066,1615.5619455003168,0.0
2025-01-01 06:30:00,0.0,0.0,0.0,0.0,20906.509227430568,0.0,208.57148525026068,20697.9377421803,1631.2858389579667,0.0
2025-01-01 06:45:00,0.0,0.0,0.0,0.0,20909.120069846933,21.527625112918898,211.59326492184934,20675.999179812134,1659.2675684078567,0.0
2025-01-01 07:00:00,0.0,0.0,0.0,0.0,21224.917256944467,511.88902471817863,234.65132086749,20478.376911358766,2175.1479308717367,0.0
2025-01-01 07:15:00,0.0,0.0,0.0,0.0,21347.83801215277,1565.06188684082,262.94223044158934,19519.833894870364,3251.38906963253,0.0
2025-01-01 07:30:00,0.0,0.0,0.0,0.0,21731.32995659723,3271.0048728095135,248.0660469494443,18212.259036838266,4936.81745518962,0.0
2025-01-01 07:45:00,0.0,0.0,0.0,0.0,22324.204965277768,5251.448701375327,250.71559799194333,16822.040665910503,6920.117798504337,0.0
2025-01-01 08:00:00,0.0,0.0,0.0,0.0,22270.28901041667,7139.5707403835695,235.15815142166198,14895.560118611435,8791.691167338346,0.0
2025-01-01 08:15:00,0.0,0.0,0.0,0.0,23080.07494791667,9206.325692654076,196.26300754270665,13677.486247719868,10819.583329270667,0.0
2025-01-01 08:30:00,0.0,0.0,0.0,0.0,23773.948776041667,10696.1306303711,192.78794216176198,12885.0302035088,12305.4725707482,0.0
2025-01-01 08:45:00,0.0,0.0,0.0,0.0,24556.465156249997,11725.356946940134,188.64456902932102,12642.463640280568,13329.762598826934,0.0
2025-01-01 09:00:00,0.0,0.0,0.0,0.0,25151.012630208334,12601.333459309899,193.98061306293167,12355.6985578355,14198.196543655167,0.0
2025-01-01 09:15:00,0.0,0.0,0.0,0.0,25186.446814236133,13350.786237955734,214.25114741249703,11621.409428867899,14953.584119802334,0.0
