var_index,var_name,portfolio_job_id,power_cap_W,start_slot,end_slot_exclusive,duration_slots,baseline_duration_minutes,mode_adjusted_duration_minutes,model_throughput_factor,total_gpus,model_power_per_gpu_kW,job_power_kW
9,x_j00_p250_s09,0,250,9,24,15,171.85,220.06690647482017,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
92,x_j02_p250_s00,2,250,0,14,14,153.65,196.7604316546763,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
143,x_j03_p250_s00,3,250,0,10,10,109.78333333333332,140.58585131894483,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
298,x_j05_p400_s00,5,400,0,11,11,154.35,154.35,1.0,11,0.3675694379147809,4.04326381706259
316,x_j06_p250_s04,6,250,4,19,15,164.6,210.78273381294966,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
452,x_j08_p300_s11,8,300,11,24,13,154.9,180.2104575163399,0.8595505617977528,16,0.2893304009205354,4.629286414728567
547,x_j10_p350_s00,10,350,0,13,13,175.28333333333333,192.28050505050504,0.9116022099447514,8,0.3309624508055901,2.647699606444721
597,x_j11_p300_s13,11,300,13,24,11,141.3,164.38823529411766,0.8595505617977528,13,0.2893304009205354,3.7612952119669605
641,x_j12_p250_s14,12,250,14,23,9,101.81666666666666,130.38393285371703,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
