var_index,var_name,portfolio_job_id,power_cap_W,start_slot,end_slot_exclusive,duration_slots,baseline_duration_minutes,mode_adjusted_duration_minutes,model_throughput_factor,total_gpus,model_power_per_gpu_kW,job_power_kW
55,x_j01_p250_s09,1,250,9,24,15,169.76666666666668,217.39904076738614,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
156,x_j03_p250_s13,3,250,13,23,10,109.78333333333332,140.58585131894483,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
210,x_j04_p250_s03,4,250,3,16,13,144.71666666666667,185.32062350119907,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
643,x_j12_p300_s00,12,300,0,8,8,101.81666666666666,118.45337690631808,0.8595505617977528,8,0.2893304009205354,2.3146432073642833
741,x_j14_p250_s00,14,250,0,13,13,140.73333333333332,180.21966426858515,0.7808988764044943,25,0.2430791849170746,6.076979622926864
868,x_j16_p300_s13,16,300,13,24,11,136.21666666666667,158.47429193899782,0.8595505617977528,17,0.2893304009205354,4.918616815649102
