event_id,slot,timestamp,raw_curtailment_MW,allocated_curtailment_kW,dispatch_target_kW,global_scale_kW_per_MW,flexible_envelope_peak_kW,dwave_gpu_load_kW,dwave_active_gpus
0,0,2025-05-18 10:30:00,7639.253755238477,17.18867738325187,13.750941906601495,0.0022500466582177,23.52444402654598,14.074424930524367,41.0
0,1,2025-05-18 10:45:00,8175.802004793073,18.395935979134784,14.716748783307828,0.0022500466582177,23.52444402654598,14.074424930524367,41.0
0,2,2025-05-18 11:00:00,7603.79445414655,17.10889230132724,13.687113841061796,0.0022500466582177,23.52444402654598,14.074424930524367,41.0
0,3,2025-05-18 11:15:00,8287.559710139016,18.647396030578506,14.917916824462806,0.0022500466582177,23.52444402654598,14.074424930524367,41.0
0,4,2025-05-18 11:30:00,8820.99047877157,19.84764014893072,15.878112119144577,0.0022500466582177,23.52444402654598,16.38906813788865,49.0
0,5,2025-05-18 11:45:00,9208.54213338284,20.719649454275576,16.57571956342046,0.0022500466582177,23.52444402654598,16.38906813788865,49.0
0,6,2025-05-18 12:00:00,9168.447247706,20.629434090746773,16.50354727259742,0.0022500466582177,23.52444402654598,16.38906813788865,49.0
0,7,2025-05-18 12:15:00,9432.034070338394,21.22251674016104,16.978013392128826,0.0022500466582177,23.52444402654598,16.38906813788865,49.0
0,8,2025-05-18 12:30:00,9486.19523164962,21.344381880174552,17.07550550413964,0.0022500466582177,23.52444402654598,16.38906813788865,49.0
0,9,2025-05-18 12:45:00,9703.922607368286,21.83427863431286,17.46742290745029,0.0022500466582177,23.52444402654598,18.33370161722525,57.0
0,10,2025-05-18 13:00:00,9409.940458675695,21.17280508307142,16.938244066457138,0.0022500466582177,23.52444402654598,16.34429785937485,56.0
0,11,2025-05-18 13:15:00,9421.648048377623,21.199147706156023,16.95931816492482,0.0022500466582177,23.52444402654598,17.41339831965575,61.0
0,12,2025-05-18 13:30:00,9142.563176588856,20.57119372302857,16.45695497842286,0.0022500466582177,23.52444402654598,17.41339831965575,61.0
0,13,2025-05-18 13:45:00,8608.809144236513,19.37022224622393,15.496177796979143,0.0022500466582177,23.52444402654598,15.468764840319151,53.0
0,14,2025-05-18 14:00:00,8798.973242039743,19.798100338999085,15.838480271199268,0.0022500466582177,23.52444402654598,15.468764840319151,53.0
0,15,2025-05-18 14:15:00,8837.76605803454,19.885385984991032,15.908308787992826,0.0022500466582177,23.52444402654598,15.468764840319151,53.0
0,16,2025-05-18 14:30:00,8769.605079311226,19.73202060259379,15.785616482075032,0.0022500466582177,23.52444402654598,16.31415103687684,58.0
0,17,2025-05-18 14:45:00,8992.9039162676,20.23445340447139,16.187562723577113,0.0022500466582177,23.52444402654598,16.31415103687684,58.0
0,18,2025-05-18 15:00:00,8939.10811157966,20.11341033390716,16.090728267125726,0.0022500466582177,23.52444402654598,16.31415103687684,58.0
0,19,2025-05-18 15:15:00,8704.51069217045,19.58555519433895,15.668444155471162,0.0022500466582177,23.52444402654598,16.31415103687684,58.0
0,20,2025-05-18 15:30:00,8037.56395612226,18.084893919684472,14.467915135747578,0.0022500466582177,23.52444402654598,14.369517557540242,50.0
