var_index,var_name,portfolio_job_id,power_cap_W,start_slot,end_slot_exclusive,duration_slots,baseline_duration_minutes,mode_adjusted_duration_minutes,model_throughput_factor,total_gpus,model_power_per_gpu_kW,job_power_kW
54,x_j01_p250_s08,1,250,8,23,15,169.76666666666668,217.39904076738614,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
99,x_j02_p250_s07,2,250,7,21,14,153.65,196.7604316546763,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
231,x_j04_p300_s12,4,300,12,24,12,144.71666666666667,168.3631808278867,0.8595505617977528,8,0.2893304009205354,2.3146432073642833
360,x_j07_p250_s00,7,250,0,8,8,92.91666666666669,118.98681055155879,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
501,x_j09_p350_s00,9,350,0,13,13,175.51666666666668,192.53646464646465,0.9116022099447514,16,0.3309624508055901,5.295399212889442
572,x_j11_p250_s00,11,250,0,13,13,141.3,180.94532374100723,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
642,x_j12_p250_s15,12,250,15,24,9,101.81666666666666,130.38393285371703,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
780,x_j14_p350_s13,14,350,13,24,11,140.73333333333332,154.380202020202,0.9116022099447514,25,0.3309624508055901,8.274061270139752
