var_index,var_name,portfolio_job_id,power_cap_W,start_slot,end_slot_exclusive,duration_slots,baseline_duration_minutes,mode_adjusted_duration_minutes,model_throughput_factor,total_gpus,model_power_per_gpu_kW,job_power_kW
78,x_j01_p350_s11,1,350,11,24,13,169.76666666666668,186.2288888888889,0.9116022099447514,13,0.3309624508055901,4.302511860472672
129,x_j02_p400_s00,2,400,0,11,11,153.65,153.65,1.0,8,0.3675694379147809,2.9405555033182473
156,x_j03_p250_s13,3,250,13,23,10,109.78333333333332,140.58585131894483,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
232,x_j04_p350_s00,4,350,0,11,11,144.71666666666667,158.749797979798,0.9116022099447514,8,0.3309624508055901,2.647699606444721
261,x_j05_p250_s00,5,250,0,14,14,154.35,197.65683453237412,0.7808988764044943,11,0.2430791849170746,2.6738710340878207
322,x_j06_p300_s00,6,300,0,13,13,164.6,191.4954248366013,0.8595505617977528,8,0.2893304009205354,2.3146432073642833
558,x_j10_p350_s11,10,350,11,24,13,175.28333333333333,192.28050505050504,0.9116022099447514,8,0.3309624508055901,2.647699606444721
626,x_j11_p400_s14,11,400,14,24,10,141.3,141.3,1.0,13,0.3675694379147809,4.778402692892152
