var_index,var_name,portfolio_job_id,power_cap_W,start_slot,end_slot_exclusive,duration_slots,baseline_duration_minutes,mode_adjusted_duration_minutes,model_throughput_factor,total_gpus,model_power_per_gpu_kW,job_power_kW
1,x_j00_p250_s01,0,250,1,16,15,171.85,220.06690647482017,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
96,x_j02_p250_s04,2,250,4,18,14,153.65,196.7604316546763,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
156,x_j03_p250_s13,3,250,13,23,10,109.78333333333332,140.58585131894483,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
245,x_j04_p350_s13,4,350,13,24,11,144.71666666666667,158.749797979798,0.9116022099447514,8,0.3309624508055901,2.647699606444721
359,x_j06_p400_s13,6,400,13,24,11,164.6,164.6,1.0,8,0.3675694379147809,2.9405555033182473
376,x_j07_p250_s16,7,250,16,24,8,92.91666666666669,118.98681055155879,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
526,x_j10_p250_s00,10,250,0,15,15,175.28333333333333,224.46354916067148,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
817,x_j15_p350_s00,15,350,0,13,13,168.4,184.729696969697,0.9116022099447514,22,0.3309624508055901,7.281173917722983
