event_id,slot,timestamp,raw_curtailment_MW,allocated_curtailment_kW,dispatch_target_kW,global_scale_kW_per_MW,flexible_envelope_peak_kW,dwave_gpu_load_kW,dwave_active_gpus
2,0,2025-03-29 10:15:00,7174.820947674154,16.14368189662507,12.914945517300056,0.0022500466582177,23.52444402654598,12.494290679618537,42.0
2,1,2025-03-29 10:30:00,7617.000523463612,17.13860657346229,13.710885258769832,0.0022500466582177,23.52444402654598,14.438924158955134,50.0
2,2,2025-03-29 10:45:00,7906.3191615381,17.789587008221908,14.231669606577526,0.0022500466582177,23.52444402654598,14.438924158955134,50.0
2,3,2025-03-29 11:00:00,7806.572058160799,17.56515137160091,14.052121097280727,0.0022500466582177,23.52444402654598,14.438924158955134,50.0
2,4,2025-03-29 11:15:00,7859.416718744491,17.684054323551898,14.14724345884152,0.0022500466582177,23.52444402654598,14.438924158955134,50.0
2,5,2025-03-29 11:30:00,8214.916730213505,18.48394593635413,14.787156749083303,0.0022500466582177,23.52444402654598,14.438924158955134,50.0
2,6,2025-03-29 11:45:00,8591.015666260379,19.330186090565658,15.464148872452526,0.0022500466582177,23.52444402654598,16.38355763829173,58.0
2,7,2025-03-29 12:00:00,8904.20497942667,20.034876658044983,16.02790132643599,0.0022500466582177,23.52444402654598,16.38355763829173,58.0
2,8,2025-03-29 12:15:00,8964.416546353334,20.170355492994386,16.136284394395506,0.0022500466582177,23.52444402654598,16.38355763829173,58.0
2,9,2025-03-29 12:30:00,9301.644562254389,20.92913426322996,16.743307410583967,0.0022500466582177,23.52444402654598,16.38355763829173,58.0
2,10,2025-03-29 12:45:00,9537.06112408687,21.45883251147025,17.1670660091762,0.0022500466582177,23.52444402654598,16.38355763829173,58.0
2,11,2025-03-29 13:00:00,9216.241603568727,20.73697362143738,16.589578897149902,0.0022500466582177,23.52444402654598,16.38355763829173,58.0
2,12,2025-03-29 13:15:00,9511.782182236331,21.401953712836164,17.121562970268933,0.0022500466582177,23.52444402654598,16.38355763829173,58.0
2,13,2025-03-29 13:30:00,9503.889657558104,21.38419516405902,17.107356131247215,0.0022500466582177,23.52444402654598,17.582339715650335,65.0
2,14,2025-03-29 13:45:00,9441.181375296235,21.243098603113125,16.9944788824905,0.0022500466582177,23.52444402654598,16.526841970532693,54.0
2,15,2025-03-29 14:00:00,9088.486263003131,20.44951814432829,16.359614515462635,0.0022500466582177,23.52444402654598,16.526841970532693,54.0
2,16,2025-03-29 14:15:00,9054.09393095539,20.37213379253595,16.29770703402876,0.0022500466582177,23.52444402654598,16.526841970532693,54.0
2,17,2025-03-29 14:30:00,9016.964303188515,20.288590397658226,16.23087231812658,0.0022500466582177,23.52444402654598,16.526841970532693,54.0
2,18,2025-03-29 14:45:00,9063.988215223331,20.39439639378849,16.315517115030794,0.0022500466582177,23.52444402654598,16.526841970532693,54.0
2,19,2025-03-29 15:00:00,9108.250330488672,20.49398821832692,16.395190574661537,0.0022500466582177,23.52444402654598,16.526841970532693,54.0
2,20,2025-03-29 15:15:00,8570.411735144999,19.283826284213347,15.427061027370678,0.0022500466582177,23.52444402654598,16.526841970532693,54.0
2,21,2025-03-29 15:30:00,8111.413177679951,18.251058113862342,14.600846491089875,0.0022500466582177,23.52444402654598,14.582208491196099,46.0
2,22,2025-03-29 15:45:00,7411.663326769999,16.67658830023402,13.341270640187217,0.0022500466582177,23.52444402654598,12.637575011859502,38.0
2,23,2025-03-29 16:00:00,7160.735733174806,16.11198950681053,12.889591605448423,0.0022500466582177,23.52444402654598,12.637575011859502,38.0
