var_index,var_name,portfolio_job_id,power_cap_W,start_slot,end_slot_exclusive,duration_slots,baseline_duration_minutes,mode_adjusted_duration_minutes,model_throughput_factor,total_gpus,model_power_per_gpu_kW,job_power_kW
21,x_j00_p350_s00,0,350,0,13,13,171.85,188.5142424242424,0.9116022099447514,8,0.3309624508055901,2.647699606444721
67,x_j01_p350_s00,1,350,0,13,13,169.76666666666668,186.2288888888889,0.9116022099447514,13,0.3309624508055901,4.302511860472672
94,x_j02_p250_s02,2,250,2,16,14,153.65,196.7604316546763,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
172,x_j03_p300_s14,3,300,14,23,9,109.78333333333332,127.7217864923747,0.8595505617977528,8,0.2893304009205354,2.3146432073642833
359,x_j06_p400_s13,6,400,13,24,11,164.6,164.6,1.0,8,0.3675694379147809,2.9405555033182473
376,x_j07_p250_s16,7,250,16,24,8,92.91666666666669,118.98681055155879,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
536,x_j10_p300_s00,10,300,0,14,14,175.28333333333333,203.92440087145968,0.8595505617977528,8,0.2893304009205354,2.3146432073642833
597,x_j11_p300_s13,11,300,13,24,11,141.3,164.38823529411766,0.8595505617977528,13,0.2893304009205354,3.7612952119669605
638,x_j12_p250_s11,12,250,11,20,9,101.81666666666666,130.38393285371703,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
