var_index,var_name,portfolio_job_id,power_cap_W,start_slot,end_slot_exclusive,duration_slots,baseline_duration_minutes,mode_adjusted_duration_minutes,model_throughput_factor,total_gpus,model_power_per_gpu_kW,job_power_kW
5,x_j00_p250_s05,0,250,5,20,15,171.85,220.06690647482017,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
127,x_j02_p350_s11,2,350,11,23,12,153.65,168.54939393939395,0.9116022099447514,8,0.3309624508055901,2.647699606444721
144,x_j03_p250_s01,3,250,1,11,10,109.78333333333332,140.58585131894483,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
217,x_j04_p250_s10,4,250,10,23,13,144.71666666666667,185.32062350119907,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
394,x_j07_p350_s00,7,350,0,7,7,92.91666666666669,101.9267676767677,0.9116022099447514,13,0.3309624508055901,4.302511860472672
536,x_j10_p300_s00,10,300,0,14,14,175.28333333333333,203.92440087145968,0.8595505617977528,8,0.2893304009205354,2.3146432073642833
684,x_j12_p400_s07,12,400,7,14,7,101.81666666666666,101.81666666666666,1.0,8,0.3675694379147809,2.9405555033182473
883,x_j16_p350_s14,16,350,14,24,10,136.21666666666667,149.42555555555555,0.9116022099447514,17,0.3309624508055901,5.6263616636950315
