var_index,var_name,portfolio_job_id,power_cap_W,start_slot,end_slot_exclusive,duration_slots,baseline_duration_minutes,mode_adjusted_duration_minutes,model_throughput_factor,total_gpus,model_power_per_gpu_kW,job_power_kW
206,x_j03_p400_s16,3,400,16,24,8,109.78333333333332,109.78333333333332,1.0,8,0.3675694379147809,2.9405555033182473
245,x_j04_p350_s13,4,350,13,24,11,144.71666666666667,158.749797979798,0.9116022099447514,8,0.3309624508055901,2.647699606444721
297,x_j05_p350_s12,5,350,12,24,12,154.35,169.31727272727272,0.9116022099447514,11,0.3309624508055901,3.6405869588614914
359,x_j06_p400_s13,6,400,13,24,11,164.6,164.6,1.0,8,0.3675694379147809,2.9405555033182473
368,x_j07_p250_s08,7,250,8,16,8,92.91666666666669,118.98681055155879,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
559,x_j10_p400_s00,10,400,0,12,12,175.28333333333333,175.28333333333333,1.0,8,0.3675694379147809,2.9405555033182473
660,x_j12_p350_s00,12,350,0,8,8,101.81666666666666,111.68979797979797,0.9116022099447514,8,0.3309624508055901,2.647699606444721
741,x_j14_p250_s00,14,250,0,13,13,140.73333333333332,180.21966426858515,0.7808988764044943,25,0.2430791849170746,6.076979622926864
