var_index,var_name,portfolio_job_id,power_cap_W,start_slot,end_slot_exclusive,duration_slots,baseline_duration_minutes,mode_adjusted_duration_minutes,model_throughput_factor,total_gpus,model_power_per_gpu_kW,job_power_kW
20,x_j00_p300_s10,0,300,10,24,14,171.85,199.9300653594771,0.8595505617977528,8,0.2893304009205354,2.3146432073642833
55,x_j01_p250_s09,1,250,9,24,15,169.76666666666668,217.39904076738614,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
129,x_j02_p400_s00,2,400,0,11,11,153.65,153.65,1.0,8,0.3675694379147809,2.9405555033182473
174,x_j03_p350_s00,3,350,0,9,9,109.78333333333332,120.42898989898988,0.9116022099447514,8,0.3309624508055901,2.647699606444721
246,x_j04_p400_s00,4,400,0,10,10,144.71666666666667,144.71666666666667,1.0,8,0.3675694379147809,2.9405555033182473
346,x_j06_p400_s00,6,400,0,11,11,164.6,164.6,1.0,8,0.3675694379147809,2.9405555033182473
727,x_j13_p350_s11,13,350,11,24,13,168.61666666666667,184.96737373737375,0.9116022099447514,18,0.3309624508055901,5.957324114500622
