var_index,var_name,portfolio_job_id,power_cap_W,start_slot,end_slot_exclusive,duration_slots,baseline_duration_minutes,mode_adjusted_duration_minutes,model_throughput_factor,total_gpus,model_power_per_gpu_kW,job_power_kW
32,x_j00_p350_s11,0,350,11,24,13,171.85,188.5142424242424,0.9116022099447514,8,0.3309624508055901,2.647699606444721
54,x_j01_p250_s08,1,250,8,23,15,169.76666666666668,217.39904076738614,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
190,x_j03_p400_s00,3,400,0,8,8,109.78333333333332,109.78333333333332,1.0,8,0.3675694379147809,2.9405555033182473
210,x_j04_p250_s03,4,250,3,16,13,144.71666666666667,185.32062350119907,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
376,x_j07_p250_s16,7,250,16,24,8,92.91666666666669,118.98681055155879,0.7808988764044943,13,0.2430791849170746,3.1600294039219694
558,x_j10_p350_s11,10,350,11,24,13,175.28333333333333,192.28050505050504,0.9116022099447514,8,0.3309624508055901,2.647699606444721
584,x_j11_p300_s00,11,300,0,11,11,141.3,164.38823529411766,0.8595505617977528,13,0.2893304009205354,3.7612952119669605
