var_index,var_name,portfolio_job_id,power_cap_W,start_slot,end_slot_exclusive,duration_slots,baseline_duration_minutes,mode_adjusted_duration_minutes,model_throughput_factor,total_gpus,model_power_per_gpu_kW,job_power_kW
56,x_j01_p300_s00,1,300,0,14,14,169.76666666666668,197.50631808278868,0.8595505617977528,13,0.2893304009205354,3.7612952119669605
101,x_j02_p250_s09,2,250,9,23,14,153.65,196.7604316546763,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
147,x_j03_p250_s04,3,250,4,14,10,109.78333333333332,140.58585131894483,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
320,x_j06_p250_s08,6,250,8,23,15,164.6,210.78273381294966,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
430,x_j08_p250_s00,8,250,0,14,14,154.9,198.36115107913673,0.7808988764044943,16,0.2430791849170746,3.8892669586731934
559,x_j10_p400_s00,10,400,0,12,12,175.28333333333333,175.28333333333333,1.0,8,0.3675694379147809,2.9405555033182473
627,x_j12_p250_s00,12,250,0,9,9,101.81666666666666,130.38393285371703,0.7808988764044943,8,0.2430791849170746,1.9446334793365967
795,x_j14_p400_s14,14,400,14,24,10,140.73333333333332,140.73333333333332,1.0,25,0.3675694379147809,9.189235947869523
854,x_j16_p250_s12,16,250,12,24,12,136.21666666666667,174.43573141486812,0.7808988764044943,17,0.2430791849170746,4.132346143590268
